Name,ID,Sub-Tec,Tactic,Platforms,Data Sources,Permissions Required
Fallback Channels,T1008,No sub-techniques,CommandAndControl,"Linux, Windows, macOS","Malware reverse engineering, Netflow/Enclave netflow, Packet capture, Process monitoring, Process use of network",[]
Ingress Tool Transfer,T1105,No sub-techniques,CommandAndControl,"Linux, Windows, macOS","File monitoring, Netflow/Enclave netflow, Network protocol analysis, Packet capture, Process command-line parameters, Process monitoring, Process use of network",User
Multi-Stage Channels,T1104,No sub-techniques,CommandAndControl,"Linux, Windows, macOS","Netflow/Enclave netflow, Network device logs, Network protocol analysis, Packet capture, Process use of network",[]
Non-Application Layer Protocol,T1095,No sub-techniques,CommandAndControl,"Linux, Network, Windows, macOS","Host network interface, Netflow/Enclave netflow, Network intrusion detection system, Network protocol analysis, Packet capture, Process use of network",[]
Non-Standard Port,T1571,No sub-techniques,CommandAndControl,"Linux, Windows, macOS","Netflow/Enclave netflow, Packet capture, Process monitoring, Process use of network",[]
Protocol Tunneling,T1572,No sub-techniques,CommandAndControl,"Linux, Windows, macOS","Netflow/Enclave netflow, Network protocol analysis, Packet capture, Process monitoring, Process use of network",[]
Proxy,T1090,4 sub-techniques,CommandAndControl,"Linux, Network, Windows, macOS","Netflow/Enclave netflow, Packet capture, Process monitoring, Process use of network, SSL/TLS inspection",[]
Remote Access Software,T1219,No sub-techniques,CommandAndControl,"Linux, Windows, macOS","Network intrusion detection system, Network protocol analysis, Process monitoring, Process use of network",User
Traffic Signaling,T1205,1 sub-techniques,"DefenseEvasion,Persistence,CommandAndControl","Linux, Network, Windows, macOS","Netflow/Enclave netflow, Packet capture",User
Web Service,T1102,3 sub-techniques,CommandAndControl,"Linux, Windows, macOS","Host network interface, Netflow/Enclave netflow, Network protocol analysis, Packet capture, SSL/TLS inspection",User
Account Access Removal,T1531,No sub-techniques,Impact,"Linux, Windows, macOS","Process command-line parameters, Process monitoring, Windows event logs","Administrator, SYSTEM, User, root"
Data Destruction,T1485,No sub-techniques,Impact,"Linux, Windows, macOS","File monitoring, Process command-line parameters, Process monitoring","Administrator, SYSTEM, User, root"
Data Encrypted for Impact,T1486,No sub-techniques,Impact,"Linux, Windows, macOS","File monitoring, Kernel drivers, Process command-line parameters, Process monitoring","Administrator, SYSTEM, User, root"
Data Manipulation,T1565,3 sub-techniques,Impact,"Linux, Windows, macOS","Application logs, File monitoring, Network protocol analysis, Packet capture","Administrator, SYSTEM, User, root"
Defacement,T1491,2 sub-techniques,Impact,"AWS, Azure, GCP, Linux, Windows, macOS","Packet capture, Packet capture, Web application firewall logs, Web logs",[]
Disk Wipe,T1561,2 sub-techniques,Impact,"Linux, Windows, macOS","Kernel drivers, Process command-line parameters, Process monitoring","Administrator, SYSTEM, User, root"
Endpoint Denial of Service,T1499,4 sub-techniques,Impact,"AWS, Azure, Azure AD, GCP, Linux, Office 365, SaaS, Windows, macOS","Netflow/Enclave netflow, Network device logs, Network intrusion detection system, Network protocol analysis, SSL/TLS inspection, Web application firewall logs, Web logs",[]
Firmware Corruption,T1495,No sub-techniques,Impact,"Linux, Windows, macOS","BIOS, Component firmware","Administrator, SYSTEM, root"
Inhibit System Recovery,T1490,No sub-techniques,Impact,"Linux, Windows, macOS","Process command-line parameters, Process monitoring, Services, Windows Registry, Windows event logs","Administrator, SYSTEM, User, root"
Network Denial of Service,T1498,2 sub-techniques,Impact,"AWS, Azure, Azure AD, GCP, Linux, Office 365, SaaS, Windows, macOS","Netflow/Enclave netflow, Network device logs, Network intrusion detection system, Network protocol analysis, Sensor health and status",[]
Resource Hijacking,T1496,No sub-techniques,Impact,"AWS, Azure, GCP, Linux, Windows, macOS","AWS CloudTrail logs, Azure activity logs, Network device logs, Network protocol analysis, Process monitoring, Process use of network, Stackdriver logs","Administrator, User"
Service Stop,T1489,No sub-techniques,Impact,"Linux, Windows, macOS","API monitoring, File monitoring, Process command-line parameters, Process monitoring, Windows Registry","Administrator, SYSTEM, User"
System Shutdown/Reboot,T1529,No sub-techniques,Impact,"Linux, Windows, macOS","Process command-line parameters, Process monitoring, Windows event logs","Administrator, SYSTEM, User, root"
